"REF_DATE","GEO","DGUID","Type of benefit and policy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1968-01","Canada","2016A000011124","Total, payments","Dollars","81","millions","6","v1833","1.1","277.57","","","","2"
"1968-01","Canada","2016A000011124","Total, under life insurance","Dollars","81","millions","6","v1834","1.2","226.92","","","","2"
"1968-01","Canada","2016A000011124","Death and accidental death claims","Dollars","81","millions","6","v1835","1.3","98.81","","","","2"
"1968-01","Canada","2016A000011124","Disability benefits, income payments","Dollars","81","millions","6","v1836","1.4","2.43","","","t","2"
"1968-01","Canada","2016A000011124","Matured endowments","Dollars","81","millions","6","v1837","1.5","18.70","","","t","2"
"1968-01","Canada","2016A000011124","Surrender values","Dollars","81","millions","6","v1838","1.6","54.40","","","t","2"
"1968-01","Canada","2016A000011124","Dividends to policy holders","Dollars","81","millions","6","v1839","1.7","52.58","","","","2"
"1968-01","Canada","2016A000011124","Total, under annuities","Dollars","81","millions","6","v1840","1.8","50.65","","","","2"
"1968-01","Canada","2016A000011124","Total payments, individual policies","Dollars","81","millions","6","v1841","1.9","190.48","","","","2"
"1968-01","Canada","2016A000011124","Total payments, group policies","Dollars","81","millions","6","v1842","1.10","87.09","","","","2"
"1968-04","Canada","2016A000011124","Total, payments","Dollars","81","millions","6","v1833","1.1","280.18","","","","2"
"1968-04","Canada","2016A000011124","Total, under life insurance","Dollars","81","millions","6","v1834","1.2","232.85","","","","2"
"1968-04","Canada","2016A000011124","Death and accidental death claims","Dollars","81","millions","6","v1835","1.3","95.51","","","","2"
"1968-04","Canada","2016A000011124","Disability benefits, income payments","Dollars","81","millions","6","v1836","1.4","2.16","","","t","2"
"1968-04","Canada","2016A000011124","Matured endowments","Dollars","81","millions","6","v1837","1.5","19.49","","","t","2"
"1968-04","Canada","2016A000011124","Surrender values","Dollars","81","millions","6","v1838","1.6","59.28","","","t","2"
"1968-04","Canada","2016A000011124","Dividends to policy holders","Dollars","81","millions","6","v1839","1.7","56.40","","","","2"
"1968-04","Canada","2016A000011124","Total, under annuities","Dollars","81","millions","6","v1840","1.8","47.32","","","","2"
"1968-04","Canada","2016A000011124","Total payments, individual policies","Dollars","81","millions","6","v1841","1.9","194.23","","","","2"
"1968-04","Canada","2016A000011124","Total payments, group policies","Dollars","81","millions","6","v1842","1.10","85.95","","","","2"
"1968-07","Canada","2016A000011124","Total, payments","Dollars","81","millions","6","v1833","1.1","255.83","","","","2"
"1968-07","Canada","2016A000011124","Total, under life insurance","Dollars","81","millions","6","v1834","1.2","207.65","","","","2"
"1968-07","Canada","2016A000011124","Death and accidental death claims","Dollars","81","millions","6","v1835","1.3","93.89","","","","2"
"1968-07","Canada","2016A000011124","Disability benefits, income payments","Dollars","81","millions","6","v1836","1.4","2.34","","","t","2"
"1968-07","Canada","2016A000011124","Matured endowments","Dollars","81","millions","6","v1837","1.5","16.34","","","t","2"
"1968-07","Canada","2016A000011124","Surrender values","Dollars","81","millions","6","v1838","1.6","49.69","","","t","2"
"1968-07","Canada","2016A000011124","Dividends to policy holders","Dollars","81","millions","6","v1839","1.7","45.38","","","","2"
"1968-07","Canada","2016A000011124","Total, under annuities","Dollars","81","millions","6","v1840","1.8","48.18","","","","2"
"1968-07","Canada","2016A000011124","Total payments, individual policies","Dollars","81","millions","6","v1841","1.9","176.95","","","","2"
"1968-07","Canada","2016A000011124","Total payments, group policies","Dollars","81","millions","6","v1842","1.10","78.88","","","","2"
"1968-10","Canada","2016A000011124","Total, payments","Dollars","81","millions","6","v1833","1.1","332.86","","","","2"
"1968-10","Canada","2016A000011124","Total, under life insurance","Dollars","81","millions","6","v1834","1.2","249.91","","","","2"
"1968-10","Canada","2016A000011124","Death and accidental death claims","Dollars","81","millions","6","v1835","1.3","96.38","","","","2"
"1968-10","Canada","2016A000011124","Disability benefits, income payments","Dollars","81","millions","6","v1836","1.4","2.10","","","t","2"
"1968-10","Canada","2016A000011124","Matured endowments","Dollars","81","millions","6","v1837","1.5","20.68","","","t","2"
"1968-10","Canada","2016A000011124","Surrender values","Dollars","81","millions","6","v1838","1.6","63.28","","","t","2"
"1968-10","Canada","2016A000011124","Dividends to policy holders","Dollars","81","millions","6","v1839","1.7","67.46","","","","2"
"1968-10","Canada","2016A000011124","Total, under annuities","Dollars","81","millions","6","v1840","1.8","82.95","","","","2"
"1968-10","Canada","2016A000011124","Total payments, individual policies","Dollars","81","millions","6","v1841","1.9","233.73","","","","2"
"1968-10","Canada","2016A000011124","Total payments, group policies","Dollars","81","millions","6","v1842","1.10","99.12","","","","2"
"1969-01","Canada","2016A000011124","Total, payments","Dollars","81","millions","6","v1833","1.1","301.92","","","","2"
"1969-01","Canada","2016A000011124","Total, under life insurance","Dollars","81","millions","6","v1834","1.2","249.14","","","","2"
"1969-01","Canada","2016A000011124","Death and accidental death claims","Dollars","81","millions","6","v1835","1.3","107.75","","","","2"
"1969-01","Canada","2016A000011124","Disability benefits, income payments","Dollars","81","millions","6","v1836","1.4","2.40","","","t","2"
"1969-01","Canada","2016A000011124","Matured endowments","Dollars","81","millions","6","v1837","1.5","18.64","","","t","2"
"1969-01","Canada","2016A000011124","Surrender values","Dollars","81","millions","6","v1838","1.6","64.74","","","t","2"
